music,like,dislike
Balkan Folk,Mozart,Ska
Dixieland,Electronic,Funk
Psychobiligy,Progressive House,Jazz
Hip Hop,Indie,Irish
Salsa,Eighties Pop,Piano
Country,Bach,Reggae
Dubstep,Alternative,Blues
Stravinsky,Mozart,Heavy Metal
Trance,Ska,Big Band
Soundtrack,Country,Funk
Bluegrass,Arabic,Trance
Irish,Soundtrack,Hip Hop
Piano,Indie,Heavy Metal
Jazz,Eighties Pop,Hip Hop
Classic Rock,Salsa,Piano
Smooth Jazz,Bluegrass,Funk
Gamelon,Folk,Ska
Hindustani Sitar,Country,Funk
Big Band,Indie,Ska
Heavy Metal,Classic Rock,Piano